ID,Name,Team,Price,Role,Overseas,WK,Uncapped
0,MS Dhoni,CSK,900000,Bat,0,1,0
1,KM Asif,CSK,650000,Bowl,0,0,1
2,S Billings,CSK,800000,Bat,1,1,0
3,C Bishnoi,CSK,700000,AR,0,0,0
4,DJ Bravo,CSK,950000,AR,1,0,0
5,D Chahar,CSK,750000,AR,0,0,1
6,F du Plessis,CSK,900000,Bat,1,0,0
7,H Singh,CSK,850000,Bowl,0,0,0
8,I Tahir,CSK,950000,Bowl,1,0,0
9,R Jadeja,CSK,950000,AR,0,0,0
10,K Jadhav,CSK,850000,AR,0,0,0
11,N Jagadeesan,CSK,700000,Bat,0,0,1
12,K Sharma,CSK,650000,AR,0,0,1
13,M Kumar,CSK,650000,Bowl,0,0,1
14,L Ngidi,CSK,850000,Bowl,1,0,0
15,S Raina,CSK,1050000,Bat,0,0,0
16,A Rayudu,CSK,850000,Bat,0,0,0
17,K Seth,CSK,650000,AR,0,0,1
18,Karn Sharma,CSK,850000,Bowl,0,0,0
19,D Shorey,CSK,700000,Bat,0,0,1
20,S Thakur,CSK,800000,Bowl,0,0,0
21,M Vijay,CSK,900000,Bat,0,0,0
22,S Watson,CSK,950000,AR,1,0,0
23,M Wood,CSK,850000,Bowl,1,0,0
24,G Gambhir,DD,950000,Bat,0,0,0
25,A Sharma,DD,650000,AR,0,0,0
26,A Khan,DD,650000,Bowl,0,0,1
27,T Boult,DD,900000,Bowl,1,0,0
28,D Christian,DD,850000,AR,1,0,0
29,S Ghosh,DD,650000,Bowl,0,0,1
30,GM Singh,DD,750000,AR,0,0,0
31,S Iyer,DD,850000,Bat,0,0,0
32,S Lamichhane,DD,750000,Bowl,0,0,1
33,M Kalra,DD,700000,Bat,0,0,1
34,G Maxwell,DD,950000,AR,1,0,0
35,A Mishra,DD,850000,Bowl,0,0,0
36,M Shami,DD,850000,Bowl,0,0,0
37,C Morris,DD,950000,AR,1,0,0
38,C Munro,DD,900000,AR,1,0,0
39,S Nadeem,DD,750000,Bowl,0,0,1
40,N Ojha,DD,800000,Bat,0,1,0
41,R Pant,DD,850000,Bat,0,1,0
42,H Patel,DD,750000,Bowl,0,0,1
43,J Roy,DD,900000,Bat,1,0,0
44,V Shankar,DD,800000,AR,0,0,0
45,P Shaw,DD,750000,Bat,0,0,1
46,R Tewatia,DD,700000,AR,0,0,1
47,J Yadav,DD,700000,AR,0,0,0
48,R Ashwin,KXIP,900000,Bowl,0,0,0
49,A Nath,KXIP,700000,AR,0,0,1
50,M Agarwal,KXIP,800000,Bat,0,0,1
51,M Dagar,KXIP,650000,AR,0,0,1
52,B Dwarshuis,KXIP,750000,Bowl,0,0,1
53,A Finch,KXIP,900000,Bat,1,0,0
54,C Gayle,KXIP,950000,Bat,1,0,0
55,M Dar,KXIP,650000,AR,0,0,1
56,D Miller,KXIP,950000,Bat,1,0,0
57,M Ur Rahman,KXIP,850000,Bowl,1,0,0
58,K Nair,KXIP,850000,Bat,0,0,0
59,A Patel,KXIP,850000,AR,0,0,0
60,L Rahul,KXIP,950000,Bat,0,1,0
61,A Rajpoot,KXIP,700000,Bowl,0,0,1
62,P Sahu,KXIP,700000,Bowl,0,0,1
63,M Sharma,KXIP,850000,Bowl,0,0,0
64,B Sran,KXIP,800000,Bowl,0,0,0
65,MP Stoinis,KXIP,900000,AR,1,0,0
66,M Tiwary,KXIP,850000,Bat,0,0,0
67,A Tye,KXIP,950000,Bowl,1,0,0
68,Y Singh,KXIP,900000,AR,0,0,0
69,D Karthik,KKR,950000,Bat,0,1,0
